scenario,seed,layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,stall_cycles_ratio,mem_bottleneck_pct,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,bridge_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_count,burst_event_ratio,throughput_per_watt,power_w,total_hbm_gb_transferred,total_hbf_gb_transferred,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,process_factor,model_predicted_token_ms,model_measured_token_ms,model_error_pct,oom_hbm,oom_hbf,runtime_kv_gb,shared_kv_gb
nominal,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.520530861533283,79.86881794862957,79.88989476430018,80.83134072331426,81.42122512357699,81.55179183137479,81.57367783179929,1.0191680107201881,0.923186183884232,92.3186183884232,0.5427864583331955,0.7139999999999478,0.07803163384281656,0.8325000000003276,0.005403032429426961,0.7383526597904436,0.7306455689690912,3648.070633196926,127.64440768884741,1664,0.08125,0.12543444017377284,99.81732962803311,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5657516505996897,99.4342483494003,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,58.36414062500002,79.86881794862981,26.9249976097821,0,0,16.0,8.32
nominal,23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.53611546975443,79.76952688515631,79.74474658973332,80.61050700369918,81.39381011613054,81.85145729940474,81.95297187676306,1.0206792747725595,0.9149609805299741,91.49609805299741,0.5427864583331955,0.7139999999999478,0.0863899580911512,0.8325000000003276,0.0054097577148441685,0.739271705241402,0.7315550212173088,3624.839463619004,127.48524796915703,1685,0.082275390625,0.12548109504035546,99.90441560716968,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.6104310358635948,99.38956896413642,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,58.36414062500002,79.76952688515699,26.83403938320205,0,0,16.0,8.32
nominal,37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.516824650954275,79.89246697034784,79.91621052829777,80.71111080518347,81.41210867107452,81.567600169676,81.57122337858122,1.0187183317738404,0.9207158577740151,92.07158577740151,0.5427864583331955,0.7139999999999478,0.08053872885787397,0.8325000000003276,0.005401433074242255,0.7381340995337726,0.7304292900934454,3653.6691874673925,127.68495943741745,1614,0.07880859375,0.12542333309102238,99.79661951632676,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5178888165391581,99.48211118346084,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,58.36414062500002,79.89246697034795,26.9466285893239,0,0,16.0,8.32
peak_traffic,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,256,2.0,0.14,0.1,1,64.0,1,1,38.0,1.1,180.0,88.0,0.25,125.0,0.03,5.075468928598717,197.02612981537638,196.80966686334958,206.9150420874277,216.9755311478362,221.39965351255114,222.22071665629176,1.102463789537779,0.9682231385529562,96.82231385529562,0.5427864583331955,0.4965444580076114,0.03442331758992335,0.8325000000003276,0.0021902364619394046,0.2993072757504224,0.2961830392123502,30842.531254611167,439.45105386302794,2839,0.138623046875,0.08718533199445265,58.21471126498267,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,100.0,0.0,125.0,124.63504589521085,1.0,0.9632778197285811,58.36414062500002,197.02612981537655,70.37746177134466,0,0,16.0,8.32
peak_traffic,23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,256,2.0,0.14,0.1,1,64.0,1,1,38.0,1.1,180.0,88.0,0.25,125.0,0.03,5.0803949824358545,196.83508929074216,196.73657255085817,205.66748864098628,214.17771359019576,217.7853076409416,218.94369839405744,1.0886522562287138,0.9648301134633557,96.48301134633557,0.5427864583331955,0.49653881835917335,0.03810627087329998,0.8325000000003276,0.002192362220737135,0.29959777181589636,0.2964705030146771,30798.146282247777,438.98539098297215,2850,0.13916015625,0.08722870505281821,58.24223779728936,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,100.0,0.0,125.0,124.63504589521085,1.0,1.065099601622142,58.36414062500002,196.83508929074156,70.34871128145684,0,0,16.0,8.32
peak_traffic,37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,256,2.0,0.14,0.1,1,64.0,1,1,38.0,1.1,180.0,88.0,0.25,125.0,0.03,5.058061237661878,197.7042097778667,197.30989806976902,207.6022714984999,213.9922440896006,220.69339004151496,221.26261246984154,1.0845489566566635,0.9673040112480156,96.73040112480156,0.5427864583331955,0.496522924804487,0.03549095655745304,0.8325000000003276,0.0021827244546856112,0.2982807206429618,0.2951671995175605,31000.383147860954,440.7406242521356,2881,0.140673828125,0.08703173113264723,58.1174379945719,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,100.0,0.0,125.0,124.63504589521085,1.0,0.9945511542004077,58.36414062500002,197.7042097778676,70.47906026352418,0,0,16.0,8.32
bridge_saturation,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,3600.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,384,2.8,0.2,0.14,1,64.0,1,1,40.0,1.2,180.0,88.0,0.25,125.0,0.03,2.335260584902502,428.2177357272316,426.20024786185377,469.32100507152984,499.79398413158856,512.6260275297664,515.0594887003386,1.1726740813477636,0.9853764252247668,98.53764252247667,0.5427864583331955,0.4874999999999748,0.0178790742717523,0.8325000000003276,0.0010077439056642072,0.1377134790237956,0.1817013264178514,79868.53028482605,679.5542069813303,4133,0.201806640625,0.052486663505014214,44.49245634901916,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,100.0,0.0,125.0,124.69575530859473,1.0,0.9632778197285811,77.77885416666669,428.2177357272302,81.8366107525703,0,0,16.0,8.32
bridge_saturation,23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,3600.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,384,2.8,0.2,0.14,1,64.0,1,1,40.0,1.2,180.0,88.0,0.25,125.0,0.03,2.3502852759200943,425.480264138794,426.13361100761506,456.5017886394514,480.0359915453597,498.6397320048969,499.0326921669892,1.1264917367355503,0.9837266321118149,98.37266321118149,0.5427864583331955,0.4874999999999748,0.019856739228470574,0.8325000000003276,0.0010142275678753341,0.13859950539903912,0.1828703635285552,79230.14546112619,675.5435634205253,4071,0.198779296875,0.05271276638230715,44.58664261469986,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,100.0,0.0,125.0,124.69575530859473,1.0,1.065099601622142,77.77885416666669,425.4802641387945,81.71975042741472,0,0,16.0,8.32
bridge_saturation,37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,3600.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,384,2.8,0.2,0.14,1,64.0,1,1,40.0,1.2,180.0,88.0,0.25,125.0,0.03,2.346406883758193,426.1835434092829,426.6192832409653,462.18247351045375,489.96469717352943,504.48443556716427,505.6247898154582,1.1484823035924165,0.9848295979650137,98.48295979650136,0.5427864583331955,0.4874999999999748,0.018533763799158522,0.8325000000003276,0.0010125539105155516,0.1383707913612623,0.1825685946361489,79394.06912604444,676.6728788955479,4033,0.196923828125,0.05265449292921183,44.56232988346652,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,100.0,0.0,125.0,124.69575530859473,1.0,0.9945511542004077,77.77885416666669,426.1835434092798,81.74991611725073,0,0,16.0,8.32
thermal_hot,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,192,1.8,0.12,0.1,1,64.0,1,1,45.0,1.35,180.0,84.0,0.25,125.0,0.03,6.423617799630767,155.67551358013245,155.24943597086144,162.013672800356,167.14850973020035,171.72992743757507,172.57530888546682,1.0766448759374059,0.9597621219447404,95.97621219447404,0.5427864583331955,0.5600379638670302,0.042641586499278475,0.8325000000003276,0.0027720082853898275,0.3788094402934758,0.37485534231385165,21252.31278599891,321.0225405820784,2473,0.120751953125,0.09770043693685725,65.7480969484536,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,100.0,0.0,125.0,124.7744016397085,1.0,0.9632778197285811,58.36414062500002,155.67551358013262,62.50910674210971,0,0,16.0,8.32
