seed,layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,stall_cycles_ratio,mem_bottleneck_pct,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,bridge_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_count,burst_event_ratio,throughput_per_watt,power_w,total_hbm_gb_transferred,total_hbf_gb_transferred,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,process_factor,model_predicted_token_ms,model_measured_token_ms,model_error_pct,oom_hbm,oom_hbf,runtime_kv_gb,shared_kv_gb
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,16,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,24.6093550582584,40.63495356268673,40.645114871736624,41.12241811647699,41.42408762860758,41.49130782002521,41.50327099275566,1.0191652246359533,0.9811276125681234,98.11276125681235,0.7534333072913106,0.7139999999999478,0.019204985904229206,0.8325000000003276,0.0013274711044357573,0.7731839590359532,0.7594548420980041,1929.2164209007024,69.75812851870842,1664,0.08125,0.19903366417989,123.64418431253947,88.37812499997568,38606.80000000849,0.0,1.0,0.0,0.0,0.7112061681220343,99.28879383187797,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,31.428500000000007,40.63495356268702,22.65648845515312,0,0,2.0,1.04
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,16,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,24.63991439513295,40.58455658423582,40.569714004723124,41.013278153311795,41.40852231724305,41.64544580318475,41.69634749693695,1.0206757265388233,0.9791068237501226,97.91068237501226,0.7534333072913106,0.7139999999999478,0.02126203400181356,0.8325000000003276,0.0013291195278331055,0.7741440812745995,0.7603979158317828,1916.9310354647357,69.67114715867756,1685,0.082275390625,0.19911642897364631,123.74626504774311,88.37812499997568,38606.80000000849,0.0,1.0,0.0,0.0,0.7604210364383409,99.23957896356166,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,31.428500000000007,40.58455658423588,22.560445043256493,0,0,2.0,1.04
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,16,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,24.60222805524833,40.646725075238564,40.65740645202635,41.061262282800875,41.41947952148891,41.49777537808079,41.49876488031757,1.0187437698556048,0.9805205533092163,98.05205533092163,0.7534333072913106,0.7139999999999478,0.019822194024953565,0.8325000000003276,0.001327086661587308,0.7729600407581135,0.7592348998470659,1932.1771154480182,69.78029019535113,1614,0.07880859375,0.19901434224168715,123.62037719558359,88.37812499997568,38606.80000000849,0.0,1.0,0.0,0.0,0.6467947696734999,99.35320523032651,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,31.428500000000007,40.646725075238265,22.6788875565622,0,0,2.0,1.04
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,32,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,16.485000562108226,60.66120508958675,60.67655250225533,61.389581776251084,61.83947467016576,61.93970239816743,61.95734904369431,1.0191659235726551,0.9747160121274008,97.47160121274008,0.6486666145830462,0.7139999999999478,0.02571673461635775,0.8325000000003276,0.0017784587894319704,0.757676812945011,0.7448471295042023,2824.602952853266,100.31216481804003,1664,0.08125,0.14999647638395733,109.90258544414286,176.75624999995136,56477.60000001857,0.0,1.0,0.0,0.0,0.6941178206032436,99.30588217939676,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,45.894000000000005,60.66120508958682,24.343738420260586,0,0,4.0,2.08
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,32,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,16.505481880040417,60.58593182967108,60.56440348299793,61.22584976347925,61.81673071735726,62.16923054739716,62.24549890032447,1.020677611969065,0.9720086736927129,97.2008673692713,0.6486666145830462,0.7139999999999478,0.028471276249291032,0.8325000000003276,0.0017806683847400458,0.7586181668526017,0.745772543538177,2806.6156832015217,100.18708565223038,1685,0.082275390625,0.15005692161617257,109.99480531967356,176.75624999995136,56477.60000001857,0.0,1.0,0.0,0.0,0.7472862738603787,99.25271372613962,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,45.894000000000005,60.585931829671146,24.24974145974258,0,0,4.0,2.08
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,32,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,16.480207893559466,60.67884619288111,60.69532688750682,61.298277106388596,61.83273520882412,61.94975269603356,61.95146140343877,1.0187396358112606,0.9739027432479187,97.39027432479187,0.6486666145830462,0.7139999999999478,0.02654319356758535,0.8325000000003276,0.0017779417397980769,0.7574565342851565,0.7446305808060232,2828.937762815628,100.34403330142965,1614,0.07880859375,0.1499823174324117,109.8810058124761,176.75624999995136,56477.60000001857,0.0,1.0,0.0,0.0,0.6338410178602115,99.3661589821398,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,45.894000000000005,60.67884619288106,24.365733893298117,0,0,4.0,2.08
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,64,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.699701626894358,78.74200744073265,78.76235083572229,79.68869992137311,80.27185401063886,80.40160689198183,80.42409193838718,1.0191652884772955,0.9610434830486922,96.10434830486922,0.5552932291666386,0.7139999999999478,0.03958230050807905,0.8325000000003276,0.00274017533653336,0.7435443797571932,0.73225398793468,3604.5201253424752,126.75535409999681,1664,0.08125,0.12620685449048394,100.62608467792788,353.51249999990273,71944.00000002766,0.11974110032362462,1.1360294117647058,0.0,0.0,0.6765994000273459,99.32340059997266,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,58.304570312500005,78.74200744073248,25.954935354696566,0,0,8.0,4.16
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,64,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.715491150903015,78.64422916365154,78.61748884029821,79.47454933617377,80.24320636285798,80.6985348961969,80.79803215366277,1.0206788279114614,0.9568720907939327,95.68720907939327,0.5552932291666386,0.7139999999999478,0.04382204544414075,0.8325000000003276,0.0027435821932875765,0.7444688276049138,0.7331643984516046,3581.5662884521516,126.59730294058349,1685,0.082275390625,0.12625443806286532,100.71322122214545,353.51249999990273,71944.00000002766,0.11974110032362462,1.1360294117647058,0.0,0.0,0.7135769119198808,99.28642308808011,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,58.304570312500005,78.64422916365143,25.86287521342025,0,0,8.0,4.16
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,64,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.69598560521289,78.76505464762077,78.78744799073714,79.57017211361293,80.2631907192135,80.41544741834741,80.41810796299865,1.0187306832003222,0.9597905077169191,95.9790507716919,0.5552932291666386,0.7139999999999478,0.04085426599183865,0.8325000000003276,0.002739373542029777,0.743326813461741,0.7320397252869858,3610.0518443166247,126.79562340236839,1614,0.07880859375,0.12619564384357074,100.60557732841038,353.51249999990273,71944.00000002766,0.11974110032362462,1.1360294117647058,0.0,0.0,0.5843674920054256,99.41563250799457,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,58.304570312500005,78.76505464762104,25.976601459437962,0,0,8.0,4.16
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.520530861533283,79.86881794862957,79.88989476430018,80.83134072331426,81.42122512357699,81.55179183137479,81.57367783179929,1.0191680107201881,0.923186183884232,92.3186183884232,0.5427864583331955,0.7139999999999478,0.07803163384281656,0.8325000000003276,0.005403032429426961,0.7383526597904436,0.7306455689690912,3648.070633196926,127.64440768884741,1664,0.08125,0.12543444017377284,99.81732962803311,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5657516505996897,99.4342483494003,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,58.36414062500002,79.86881794862981,26.9249976097821,0,0,16.0,8.32
