seed,layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,stall_cycles_ratio,mem_bottleneck_pct,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,bridge_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_count,burst_event_ratio,throughput_per_watt,power_w,total_hbm_gb_transferred,total_hbf_gb_transferred,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,process_factor,model_predicted_token_ms,model_measured_token_ms,model_error_pct,oom_hbm,oom_hbf,runtime_kv_gb,shared_kv_gb
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,1024,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.584216165654807,79.46462352810086,79.48544849630505,80.42132177251185,81.0089309756169,81.13929734029131,81.1614775567057,1.0191668098769384,0.9227954727159727,92.27954727159727,0.5472723958335577,0.7139999999999478,0.07843453808844035,0.8325000000003276,0.004223093660450837,0.7405106628467353,0.7312186253065301,3632.4554942492787,127.3776916121925,1664,0.08125,0.12572507853885856,100.09312630308146,549.8250000001191,72307.9999999921,0.482200647249191,1.9312500000000001,0.0,0.0,0.6349024939346429,99.36509750606537,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,58.304570312500005,79.46462352810036,26.62826837418756,0,0,4.0,2.08
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,1024,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.599873538821052,79.36587592874906,79.34024760901943,80.20319700443133,80.98093378359923,81.43791973254608,81.53885046687554,1.0206791158840962,0.9145284762434697,91.45284762434697,0.5472723958335577,0.7139999999999478,0.0868359503314777,0.8325000000003276,0.004228348064260123,0.7414320115925888,0.7321284128317779,3609.3237629710193,127.21886446058575,1685,0.082275390625,0.12577207865521592,100.1802122819453,549.8250000001191,72307.9999999921,0.482200647249191,1.9312500000000001,0.0,0.0,0.6597170853257209,99.34028291467428,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,58.304570312500005,79.36587592874945,26.53697873272033,0,0,4.0,2.08
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,1024,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.580507264205682,79.48805075970351,79.51177164348357,80.30170263031967,81.00000820611973,81.15424726144076,81.15744577493876,1.0187171852906152,0.9203124790012766,92.03124790012765,0.5472723958335577,0.7139999999999478,0.08095474072494115,0.8325000000003276,0.004221849003017204,0.740292414762439,0.7310031158315398,3638.0300845640627,127.41815862690284,1614,0.07880859375,0.1257139332190817,100.07249747155416,549.8250000001191,72307.9999999921,0.482200647249191,1.9312500000000001,0.0,0.0,0.5469115959935661,99.45308840400644,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,58.304570312500005,79.48805075970336,26.64989296472013,0,0,4.0,2.08
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,2048,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.562927493369104,79.59928134010282,79.6202019370647,80.55793204237162,81.14629919675716,81.27673223804032,81.29881436805212,1.0191672116192163,0.9229260793313283,92.29260793313283,0.5457770833332564,0.7139999999999478,0.0782998721629563,0.8325000000003276,0.00461774231548692,0.7397895779786691,0.7310276363779834,3637.6605405651303,127.46659697107754,1664,0.08125,0.12562773469006702,100.00122603788711,602.224999999965,72360.00000000001,0.5109672779575691,2.0448529411764707,0.0,0.0,0.610486896471901,99.38951310352809,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,58.324427083333354,79.59928134010269,26.727445145978862,0,0,8.0,4.16
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,2048,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.57855987032314,79.50035698119314,79.47501873314724,80.33890446956194,81.11849607698943,81.57566063141364,81.67682736741969,1.020679169002281,0.9146730579900856,91.46730579900856,0.5457770833332564,0.7139999999999478,0.08668687510340715,0.8325000000003276,0.004623488292178291,0.7407101173637552,0.731937273051578,3614.495663187026,127.30765896344296,1685,0.082275390625,0.12567461757532244,100.08830830763614,602.224999999965,72360.00000000001,0.5109672779575691,2.0448529411764707,0.0,0.0,0.6312500850276397,99.36874991497235,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,58.324427083333354,79.50035698119335,26.6362702029997,0,0,8.0,4.16
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,2048,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.559218629473234,79.62278781048201,79.64683456784725,80.4381094016201,81.1373118628637,81.29196828184394,81.2953083541803,1.0187135785509063,0.9204473255930402,92.04473255930402,0.5457770833332564,0.7139999999999478,0.08081568477667851,0.8325000000003276,0.004616379052205858,0.739571175153551,0.7308118202786803,3643.243118865196,127.50709223040857,1614,0.07880859375,0.1256165994914133,99.98056531001492,602.224999999965,72360.00000000001,0.5109672779575691,2.0448529411764707,0.0,0.0,0.5425556186297751,99.45744438137022,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,58.324427083333354,79.6227878104818,26.749076882164452,0,0,8.0,4.16
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.520530861533283,79.86881794862957,79.88989476430018,80.83134072331426,81.42122512357699,81.55179183137479,81.57367783179929,1.0191680107201881,0.923186183884232,92.3186183884232,0.5427864583331955,0.7139999999999478,0.07803163384281656,0.8325000000003276,0.005403032429426961,0.7383526597904436,0.7306455689690912,3648.070633196926,127.64440768884741,1664,0.08125,0.12543444017377284,99.81732962803311,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5657516505996897,99.4342483494003,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,58.36414062500002,79.86881794862981,26.9249976097821,0,0,16.0,8.32
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.53611546975443,79.76952688515631,79.74474658973332,80.61050700369918,81.39381011613054,81.85145729940474,81.95297187676306,1.0206792747725595,0.9149609805299741,91.49609805299741,0.5427864583331955,0.7139999999999478,0.0863899580911512,0.8325000000003276,0.0054097577148441685,0.739271705241402,0.7315550212173088,3624.839463619004,127.48524796915703,1685,0.082275390625,0.12548109504035546,99.90441560716968,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.6104310358635948,99.38956896413642,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,58.36414062500002,79.76952688515699,26.83403938320205,0,0,16.0,8.32
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.516824650954275,79.89246697034784,79.91621052829777,80.71111080518347,81.41210867107452,81.567600169676,81.57122337858122,1.0187183317738404,0.9207158577740151,92.07158577740151,0.5427864583331955,0.7139999999999478,0.08053872885787397,0.8325000000003276,0.005401433074242255,0.7381340995337726,0.7304292900934454,3653.6691874673925,127.68495943741745,1614,0.07880859375,0.12542333309102238,99.79661951632676,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5178888165391581,99.48211118346084,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,58.36414062500002,79.89246697034795,26.9466285893239,0,0,16.0,8.32
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,8192,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.436460607169815,80.40872974932147,80.43066290304739,81.37891065009174,81.97183491537427,82.1026702093897,82.12416412351158,1.019161498322905,0.9237019573071745,92.37019573071746,0.5368052083334071,0.7139999999999478,0.07749956117896686,0.8325000000003276,0.006957745791046755,0.7355000530959759,0.7298815065343407,3668.890818460469,128.00002912438774,1664,0.08125,0.12505340273842636,99.44919798130647,916.6250000003193,72672.00000000726,0.6332254584681769,2.726470588235294,0.0,0.0,0.5244531297748873,99.4755468702251,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,58.44356770833334,80.40872974932186,27.316887245285418,0,0,32.0,16.64
