seed,layer1_role,layer2_role,package_topology,compute_bonding,memory_ring_mount,hbm_ring_coverage,hbf_outer_ring_coverage,base_die_xbar_bw_gbs,tsv_uplink_bw_gbs,tsv_protocol_overhead,tsv_lane_util_limit,periphery_to_center_hops,base_die_hop_latency_ns,microbump_latency_ns,hbm_stack_height_mm,compute_die_thickness_mm,periphery_ring_clearance_mm,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,stall_cycles_ratio,mem_bottleneck_pct,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,tsv_util,base_die_util,bridge_contention_ms_total,tsv_contention_ms_total,base_route_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_count,burst_event_ratio,throughput_per_watt,power_w,total_hbm_gb_transferred,total_hbf_gb_transferred,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_tsv_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,process_factor,model_predicted_token_ms,model_measured_token_ms,model_error_pct,oom_hbm,oom_hbf,runtime_kv_gb,shared_kv_gb
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,64,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.747869616232525,173.97750240818021,174.02338544426397,176.099998751792,177.35647157860814,177.6495144554183,177.68993845481987,1.0191530932801653,0.9647366549676265,96.47366549676265,0.5542447916668216,0.7139999999999478,0.03401518383767874,0.8325000000003276,0.0014980981584914379,0.33652728814322247,0.33175425730730673,0.4739346532962945,0.2843607919776915,3608.1852208146584,3151.408779925163,3633.9579723919037,126.75535409999681,1664,0.08125,0.08550465331631571,67.2228866301448,427.0250000001179,71944.00000002766,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,133.2513042857143,173.97750240817965,23.408887677278546,0,0,16.0,8.32
23,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,64,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.755040546662056,173.76072190838056,173.72176029936597,175.59739043060125,177.32637322674185,178.26324779867173,178.50107595541587,1.020749346087469,0.9609605538271255,96.09605538271255,0.5542447916668216,0.7139999999999478,0.03765880174510673,0.8325000000003276,0.001499967156640041,0.3369471330478631,0.3321681474714352,0.47452592495933527,0.28471555497551587,3585.20804433937,3121.6697813824157,3610.8166732275026,126.59730294058349,1685,0.082275390625,0.08555299363226919,67.2687220203987,427.0250000001179,71944.00000002766,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,133.2513042857143,173.76072190838042,23.313334094011015,0,0,16.0,8.32
37,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,64,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.74604541562727,174.0327351538753,174.0978662437647,175.83785666085504,177.36599684768828,177.69552361851134,177.7131944464666,1.0187718015989218,0.9636033662950848,96.36033662950848,0.5542447916668216,0.7139999999999478,0.03510680524883815,0.8325000000003276,0.0014976227072808304,0.3364204845231505,0.3316489685033877,0.47378424071926717,0.28427054443147515,3613.7225644704336,3157.0264954583126,3639.534868502396,126.79562340236839,1614,0.07880859375,0.08549234558727874,67.21122664439191,427.0250000001179,71944.00000002766,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,133.2513042857143,174.03273515387593,23.433195388271972,0,0,16.0,8.32
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.679762359397278,176.06370420506772,176.1101378201255,178.21166969719332,179.48321971984387,179.77977899967306,179.8206880716861,1.019153252285587,0.9651544949426679,96.51544949426679,0.5427864583331955,0.7139999999999478,0.033567847607014076,0.8325000000003276,0.0024510095105906714,0.3349432776786481,0.3314470645522493,0.4734958065030542,0.28409748390192796,3648.070633196926,3186.2449180611347,3674.1282805769074,127.64440768884741,1664,0.08125,0.08532889469208561,66.56317745463642,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,133.2513042857143,176.0637042050667,24.316425757740227,0,0,16.0,8.32
23,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.686848379452081,175.84432242175382,175.804893288257,177.70303026739055,179.4527601992076,180.40087690952018,180.64155891365175,1.0207495186437696,0.9614231369174859,96.1423136917486,0.5427864583331955,0.7139999999999478,0.037163548028308235,0.8325000000003276,0.002454067367847291,0.33536114987693216,0.3318605749067163,0.47408653558086394,0.28445192134861397,3624.839463619004,3156.1771802358203,3650.7311740734226,127.48524796915703,1685,0.082275390625,0.08537660665296196,66.60897642099937,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,133.2513042857143,175.84432242175473,24.222003616291335,0,0,16.0,8.32
37,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.677959759019015,176.11959972269523,176.18551236088035,177.9463820009101,179.49285928852862,179.82634025521668,179.84422312638364,1.0187719573722602,0.9640346348502038,96.40346348502038,0.5427864583331955,0.7139999999999478,0.03464511302151382,0.8325000000003276,0.0024502316275752654,0.33483697589332057,0.3313418723688215,0.47334553195530016,0.2840073191732756,3653.6691874673925,3191.9247326515197,3679.766824520713,127.68495943741745,1614,0.07880859375,0.08531674685152031,66.55152673484568,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,133.2513042857143,176.11959972269528,24.340445642891645,0,0,16.0,8.32
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,256,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.5479418675374035,180.247022026544,180.2945596799755,182.44605906076083,183.74784235333095,184.05145283570383,184.09333459065837,1.0191535600380015,0.9659632174428552,96.59632174428552,0.519869791666469,0.7139999999999478,0.03270189202774786,0.8325000000003276,0.004290393704050257,0.33186516848276904,0.33083397955296173,0.47261997078999346,0.2835719824739672,3727.8414579614387,3255.917194333016,3754.4688969468825,129.4225148665515,1664,0.08125,0.0850342845002443,65.24358851424762,1267.0249999998853,73504.00000002835,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,133.2513042857143,180.2470220265443,26.072951004932065,0,0,16.0,8.32
23,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,256,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.554863540923928,180.02242406726563,179.98205743888673,181.9253258612291,183.71665860565471,184.68731840739707,184.93372303656582,1.0207498526237044,0.9623184590194727,96.23184590194727,0.519869791666469,0.7139999999999478,0.036204833553568024,0.8325000000003276,0.004295746446495668,0.33227920712258285,0.3312467316701078,0.4732096166716308,0.28392577000294955,3704.1023021782353,3225.19197794265,3730.5601757652375,129.26113802630593,1685,0.082275390625,0.0850807454866687,65.28931439363468,1267.0249999998853,73504.00000002835,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,133.2513042857143,180.02242406726432,25.980718804271998,0,0,16.0,8.32
37,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,256,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.546181075067893,180.30424655541174,180.37172637895856,182.17446369715418,183.75771111919772,184.09912116449016,184.11742923141128,1.0187722588690273,0.9648693481430913,96.48693481430914,0.519869791666469,0.7139999999999478,0.03375136703652312,0.8325000000003276,0.004289032029197547,0.3317598419123923,0.33072898025885167,0.47246997179840766,0.28348198307901573,3733.5624334612626,3261.7212070379646,3760.230736557396,129.46363150751617,1614,0.07880859375,0.08502245497813418,65.23195638721845,1267.0249999998853,73504.00000002835,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,133.2513042857143,180.30424655541245,26.0964137942461,0,0,16.0,8.32
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,512,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.300616105050566,188.65731458031334,188.70707183218292,190.95902767895527,192.32159302436742,192.63937949785065,192.68321676956234,1.019154137452776,0.9674805680927996,96.74805680927996,0.4740364583333888,0.7139999999999478,0.031076598518835645,0.8325000000003276,0.007722597142430262,0.32604310521183005,0.32961310337355776,0.4708758619622782,0.2825255171773352,3887.3831074904733,3395.2617468768076,3915.1501296868273,132.97872922195768,1664,0.08125,0.08466919938577169,62.60382929688258,2387.0249999998896,75584.0000000292,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,133.2513042857143,188.65731458031365,29.368599048415035,0,0,16.0,8.32
