seed,layer1_role,layer2_role,package_topology,compute_bonding,memory_ring_mount,hbm_ring_coverage,hbf_outer_ring_coverage,base_die_xbar_bw_gbs,tsv_uplink_bw_gbs,tsv_protocol_overhead,tsv_lane_util_limit,periphery_to_center_hops,base_die_hop_latency_ns,microbump_latency_ns,hbm_stack_height_mm,compute_die_thickness_mm,periphery_ring_clearance_mm,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,stall_cycles_ratio,mem_bottleneck_pct,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,tsv_util,base_die_util,bridge_contention_ms_total,tsv_contention_ms_total,base_route_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_count,burst_event_ratio,throughput_per_watt,power_w,total_hbm_gb_transferred,total_hbf_gb_transferred,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_tsv_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,process_factor,model_predicted_token_ms,model_measured_token_ms,model_error_pct,oom_hbm,oom_hbf,runtime_kv_gb,shared_kv_gb
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,16,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.104014461586062,243.6638587315148,243.72813305760798,246.63711494474637,248.39721957358583,248.80772277979437,248.86434992440454,1.0191569453119893,0.9496435070245677,94.96435070245677,0.5427864583331955,0.7139999999999478,0.05089275927693554,0.8325000000003276,0.0017698468432148563,0.24201929031940664,0.23949150438799463,0.29988501419015795,0.19159320351039572,3648.047262838105,2792.795045488291,3327.0191037083523,127.64440768884741,1664,0.08125,0.07475456256872469,54.899852538272654,706.5562499998059,72464.0000000279,0.889967637540453,9.088235294117647,0.0,0.0,0.0,32.60246907756361,67.39753092243639,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,177.89276660326092,243.66385873151552,26.992551324866525,0,0,16.0,8.32
23,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,16,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.109135581570107,243.36018613868626,243.30560755416786,245.93304621063555,248.35505690415928,249.66745876077104,250.00061553950886,1.02075352640143,0.944251173887278,94.4251173887278,0.5427864583331955,0.7139999999999478,0.05634425942298702,0.8325000000003276,0.0017720553144866616,0.24232128969971584,0.23979034951649264,0.3002592202641033,0.1918322796131941,3624.816242084263,2766.4401884741415,3305.8324127808546,127.48524796915703,1685,0.082275390625,0.07480525780129212,54.93110648031387,706.5562499998059,72464.0000000279,0.889967637540453,9.088235294117647,0.0,0.0,0.0,32.60246879972868,67.39753120027132,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,177.89276660326092,243.36018613868626,26.901450304659413,0,0,16.0,8.32
37,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,16,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.102711709129357,243.74123040982852,243.83246798404895,246.26989848146576,248.41056285474633,248.8721737883643,248.8969276114599,1.0187755753306686,0.9480251600977746,94.80251600977746,0.5427864583331955,0.7139999999999478,0.05252601879111085,0.8325000000003276,0.001769285034199666,0.24194246524289076,0.23941548171589594,0.2997898205833562,0.19153238537271675,3653.6457812429835,2797.7734945577286,3332.1249524936106,127.68495943741745,1614,0.07880859375,0.07474165708944149,54.89190190444592,706.5562499998059,72464.0000000279,0.889967637540453,9.088235294117647,0.0,0.0,0.0,32.60246914824435,67.39753085175566,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,177.89276660326092,243.741230409827,27.015726348738102,0,0,16.0,8.32
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,32,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.104005720111878,243.66437773209034,243.72865219515452,246.6376402814783,248.3977486611886,248.8082527421999,248.8648800074853,1.019156945332367,0.9664290761886379,96.64290761886379,0.5427864583331955,0.7139999999999478,0.033928433733607995,0.8325000000003276,0.0017702344619590872,0.2420187748228366,0.23949150568994673,0.29988501582041693,0.19159320455195739,3648.0550529577067,2792.801009283688,3327.0262082973904,127.64440768884741,1664,0.08125,0.07475438151412225,54.899868569397064,706.7124999998058,72464.0000000279,0.7799352750809061,4.544117647058823,0.0,0.0,0.0,32.6024690780389,67.3975309219611,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,177.89276660326092,243.6643777320902,26.992706829368956,0,0,16.0,8.32
23,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,32,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.109126829193461,243.36070449212193,243.30612579129138,245.93357004696196,248.3555859019113,249.6679905553168,250.00114804402835,1.020753526423545,0.9628341950874263,96.28341950874263,0.5427864583331955,0.7139999999999478,0.03756275940354521,0.8325000000003276,0.0017724434169162514,0.24232077356021292,0.23979035082038616,0.3002592218967932,0.19183228065630892,3624.8239825958535,2766.446095990789,3305.839472127398,127.48524796915703,1685,0.082275390625,0.07480507660914686,54.93112253147555,706.7124999998058,72464.0000000279,0.7799352750809061,4.544117647058823,0.0,0.0,0.0,32.602468800204434,67.39753119979555,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,177.89276660326092,243.3607044921195,26.901606003108267,0,0,16.0,8.32
37,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,32,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.102702970428688,243.74174957528322,243.8329873439384,246.27042303564102,248.41109197078435,248.87270388811814,248.89745776396535,1.0187755753506325,0.9653501805354877,96.53501805354877,0.5427864583331955,0.7139999999999478,0.035017271084614006,0.8325000000003276,0.001769672529900078,0.24194194990987866,0.2394154830173576,0.299789822213001,0.1915323864138861,3653.653583317783,2797.779468984219,3332.1320679858177,127.68495943741745,1614,0.07880859375,0.0747414760698507,54.89191793047343,706.7124999998058,72464.0000000279,0.7799352750809061,4.544117647058823,0.0,0.0,0.0,32.60246914871935,67.39753085128065,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,177.89276660326092,243.7417495752846,27.015881803902808,0,0,16.0,8.32
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.103988237275263,243.66541573323912,243.72969047024753,246.63869095494238,248.39880683639404,248.80931266701097,248.86594017364692,1.0191569453731222,0.9748219143991834,97.48219143991834,0.5427864583331955,0.7139999999999478,0.02544621662437872,0.8325000000003276,0.0017710096944938624,0.24201774383628674,0.23949150829370136,0.2998850190806664,0.19159320663496107,3648.070633196926,2792.812936874438,3327.040417475598,127.64440768884741,1664,0.08125,0.07475401940756081,54.899900631432466,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,32.602469078989365,67.39753092101063,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,177.89276660326092,243.66541573323966,26.993017836386514,0,0,16.0,8.32
23,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.109109324552157,243.3617411989855,243.30716226553852,245.93461771961483,248.35664389741535,249.66905414440848,250.00221305306746,1.020753526467774,0.972125765058716,97.2125765058716,0.5427864583331955,0.7139999999999478,0.02817194923576054,0.8325000000003276,0.0017732196168156061,0.24231974128781095,0.23979035342802882,0.30025922516191106,0.19183228274242306,3624.839463619004,2766.457911024112,3305.8535908205254,127.48524796915703,1685,0.082275390625,0.07480471422750287,54.93115463358581,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,32.60246880115627,67.39753119884372,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,177.89276660326092,243.36174119898607,26.901917398016177,0,0,16.0,8.32
37,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.10268549313889,243.742787906201,243.83402606371737,246.2714721439919,248.4121502028603,248.87376408762583,248.89851806897627,1.0187755753905592,0.9740127461063582,97.40127461063582,0.5427864583331955,0.7139999999999478,0.026262841149989023,0.8325000000003276,0.0017704475163487095,0.2419409192504321,0.23941548562012077,0.2997898254720091,0.19153238849609663,3653.6691874673925,2797.7914178371434,3332.146298970254,127.68495943741745,1614,0.07880859375,0.07474111403331016,54.891949982314024,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,32.60246914966938,67.39753085033061,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,177.89276660326092,243.74278790619988,27.016192712245573,0,0,16.0,8.32
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,128,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.103953272048861,243.66749173553796,243.73176702043355,246.64079230187025,248.40092318680496,248.8114325166332,248.86806050597022,1.0191569454546316,0.9790184407598739,97.90184407598738,0.5427864583331955,0.7139999999999478,0.021204999396257296,0.8325000000003276,0.0017725601397488864,0.2420156818895371,0.2394915135010401,0.2998850256010574,0.19159321080083205,3648.101793675352,2792.836792056002,3327.0688358319094,127.64440768884741,1664,0.08125,0.07475329520496284,54.89996475468284,707.6499999998047,72464.0000000279,0.11974110032362462,1.1360294117647058,0.0,0.0,0.0,32.602469080890515,67.39753091910949,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,177.89276660326092,243.66749173553848,26.99363984247244,0,0,16.0,8.32
