seed,layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,stall_cycles_ratio,mem_bottleneck_pct,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,bridge_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_count,burst_event_ratio,throughput_per_watt,power_w,total_hbm_gb_transferred,total_hbf_gb_transferred,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,process_factor,model_predicted_token_ms,model_measured_token_ms,model_error_pct,oom_hbm,oom_hbf,runtime_kv_gb,shared_kv_gb
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.6,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.664176288080942,85.73258627974027,85.75616087370024,86.75780292249652,87.39341971445856,87.54042913109896,87.56772234868714,1.0190920258565404,0.9324952082532644,93.24952082532644,0.24278645833329043,0.7139999999999478,0.06926175092695039,0.5550000000001604,0.0050334864746570795,0.6878522709471213,0.6806723145217357,3648.070633196926,510.57763075538975,1664,0.08125,0.14852756396591582,78.53206486815904,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,1.1199388923181377,98.88006110768187,0.0,103.74559999999872,103.14474734374907,0.7872799999999358,0.9632778197285811,58.437000000000005,85.73258627974013,31.83805302534128,0,0,16.0,8.32
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.6,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.678658295760679,85.62627441227536,85.58872146647411,86.5315449783946,87.35839221278361,87.86585154079589,87.97196343939511,1.0206764479710413,0.9252670474842503,92.52670474842503,0.24278645833329043,0.7139999999999478,0.07667994985955459,0.5550000000001604,0.005039735950657911,0.6887062945510478,0.681517423635558,3624.839463619004,509.94099187662823,1685,0.082275390625,0.14855888777683662,78.61298957289057,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,1.137561035974779,98.86243896402522,0.0,103.74559999999872,103.14474734374907,0.7872799999999358,1.065099601622142,58.437000000000005,85.62627441227502,31.753424517063046,0,0,16.0,8.32
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.6,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.660906792824017,85.75662405734931,85.77545802990522,86.62559046315853,87.39089691484918,87.54841431171755,87.54882561010187,1.0188333460648002,0.9303231647967846,93.03231647967846,0.24278645833329043,0.7139999999999478,0.07148939975570615,0.5550000000001604,0.005032075576900715,0.6876594643843789,0.6804815205171797,3653.6691874673925,510.7398377496698,1614,0.07880859375,0.14852048328743947,78.51379509892958,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,1.0103235430298012,98.9896764569702,0.0,103.74559999999872,103.14474734374907,0.7872799999999358,0.9945511542004077,58.437000000000005,85.75662405734897,31.857158974774027,0,0,16.0,8.32
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.7,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.936446303044505,83.7770283224866,83.79836269604749,84.78073980736113,85.40268818416473,85.54289127805268,85.56823788004075,1.0191450696230955,0.9295370144718712,92.95370144718711,0.342786458333434,0.7139999999999478,0.07212723768876551,0.647499999999687,0.0051509801925095945,0.7039084024285075,0.6965608484981548,3648.070633196926,382.93322306654346,1664,0.08125,0.1395202642360768,85.55349553271566,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.8993659512644692,99.10063404873553,0.0,106.08919999999871,105.46786373046783,0.9044599999999356,0.9632778197285811,58.38900000000001,83.77702832248643,30.304283681153283,0,0,16.0,8.32
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.7,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.951262581702338,83.67316784847681,83.64045286363258,84.55815876189317,85.37019818056592,85.86093944881902,85.96563291851776,1.0206807263436692,0.9219921260040511,92.1992126004051,0.342786458333434,0.7139999999999478,0.07985241082303367,0.647499999999687,0.005157373917740338,0.704782138444671,0.6974254642616298,3624.839463619004,382.4557439074723,1685,0.082275390625,0.13955839099519365,85.6362881262649,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.9206667265294849,99.07933327347051,0.0,106.08919999999871,105.46786373046783,0.9044599999999356,1.065099601622142,58.38900000000001,83.67316784847648,30.217772911697935,0,0,16.0,8.32
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.7,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.93301923116661,83.80108844442354,83.82128750462164,84.65409724383349,85.39662393943684,85.55480959770371,85.55629153292831,1.0187939899482974,0.9272702830237375,92.72702830237375,0.342786458333434,0.7139999999999478,0.07444600629973916,0.647499999999687,0.0051495012951130684,0.7037063033590414,0.6963608589841466,3653.6691874673925,383.0548783122498,1614,0.07880859375,0.13951143483457892,85.53434523353438,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.7619777025681224,99.23802229743187,0.0,106.08919999999871,105.46786373046783,0.9044599999999356,0.9945511542004077,58.38900000000001,83.80108844442289,30.324294011140733,0,0,16.0,8.32
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.8,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.22156386142941,81.82258926420585,81.8438345262531,82.80577511649811,83.41195665387085,83.5473415547137,83.57095785591999,1.0191599298431544,0.9264375121866865,92.64375121866864,0.44278645833334485,0.7139999999999478,0.07505040005499344,0.7399999999998124,0.005274018059768524,0.7207221709431654,0.7131991111224045,3648.070633196926,255.28881537769482,1664,0.08125,0.13191577832347792,92.64671760083348,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.6933757765475735,99.30662422345243,0.0,108.43279999999874,107.7909801171866,1.0,0.9632778197285811,58.36414062500002,81.82258926420592,28.669892813411643,0,0,16.0,8.32
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.8,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.236750965938747,81.7210387613118,81.69259972668297,82.58433288279616,83.38200414834823,83.85602735684216,83.95930239764043,1.020680017863521,0.9185606290774508,91.85606290774508,0.44278645833334485,0.7139999999999478,0.083088984188069,0.7399999999998124,0.005280571808893104,0.7216177750619521,0.7140853667243383,3624.839463619004,254.97049593831406,1685,0.082275390625,0.13195882843627618,92.73158234992937,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.7465352406744368,99.25346475932557,0.0,108.43279999999874,107.7909801171866,1.0,1.065099601622142,58.36414062500002,81.7210387613126,28.58125458308531,0,0,16.0,8.32
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.8,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.217996080881898,81.84648230201591,81.86921696569868,82.68260402450849,83.40355008836252,83.56120488368981,83.56375745575473,1.0187412702787506,0.9240714382260534,92.40714382260535,0.44278645833334485,0.7139999999999478,0.07746237012558037,0.7399999999998124,0.00527247844182321,0.720511774092909,0.7129909104417048,3653.6691874673925,255.3699188748349,1614,0.07880859375,0.13190565347472588,92.62678102893412,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.6332155655360683,99.36678443446392,0.0,108.43279999999874,107.7909801171866,1.0,0.9945511542004077,58.36414062500002,81.84648230201569,28.69071585797079,0,0,16.0,8.32
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.520530861533283,79.86881794862957,79.88989476430018,80.83134072331426,81.42122512357699,81.55179183137479,81.57367783179929,1.0191680107201881,0.923186183884232,92.3186183884232,0.5427864583331955,0.7139999999999478,0.07803163384281656,0.8325000000003276,0.005403032429426961,0.7383526597904436,0.7306455689690912,3648.070633196926,127.64440768884741,1664,0.08125,0.12543444017377284,99.81732962803311,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5657516505996897,99.4342483494003,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,58.36414062500002,79.86881794862981,26.9249976097821,0,0,16.0,8.32
