seed,layer1_role,layer2_role,package_topology,compute_bonding,memory_ring_mount,hbm_ring_coverage,hbf_outer_ring_coverage,base_die_xbar_bw_gbs,tsv_uplink_bw_gbs,tsv_protocol_overhead,tsv_lane_util_limit,periphery_to_center_hops,base_die_hop_latency_ns,microbump_latency_ns,hbm_stack_height_mm,compute_die_thickness_mm,periphery_ring_clearance_mm,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,stall_cycles_ratio,mem_bottleneck_pct,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,tsv_util,base_die_util,bridge_contention_ms_total,tsv_contention_ms_total,base_route_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_count,burst_event_ratio,throughput_per_watt,power_w,total_hbm_gb_transferred,total_hbf_gb_transferred,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_tsv_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,process_factor,model_predicted_token_ms,model_measured_token_ms,model_error_pct,oom_hbm,oom_hbf,runtime_kv_gb,shared_kv_gb
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.3,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.675649204610574,176.19129793780365,176.237765226703,178.34082114296342,179.61329329869747,179.91006764448406,179.9510063839172,1.0191532618882926,0.9651797292653128,96.51797292653129,0.5420645833333366,0.7139999999999478,0.033539992731190744,0.8325000000003276,0.004563746431509561,0.3321141604886683,0.3314351726159696,0.4734788180225957,0.2840872908136882,3650.583414177022,3188.4395947636804,3676.659009992564,126.68696536239172,1664,0.08125,0.08516159440844687,66.64564283976847,1317.4250000002078,71904.00000002765,0.37614678899082565,1.602941176470588,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,133.3450542857143,176.19129793780374,24.31802487045322,0,0,16.0,3.84
23,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.3,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.682730096686159,175.9717570579575,175.932299330298,177.83181284584327,179.5828116886969,180.5316159769812,180.77247252464983,1.0207495290648443,0.9614510733806756,96.14510733806756,0.5420645833333366,0.7139999999999478,0.0371327094110909,0.8325000000003276,0.004569440123063931,0.3325285033140289,0.3318486683417872,0.47406952620233495,0.28444171572153193,3627.33624303361,3158.3511463635837,3653.2457876267076,126.52899947684621,1685,0.082275390625,0.08520909060540255,66.69159424553058,1317.4250000002078,71904.00000002765,0.37614678899082565,1.602941176470588,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,133.3450542857143,175.97175705795865,24.223604676632668,0,0,16.0,3.84
37,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.3,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.67384790873141,176.24723399108265,176.31319442937163,178.07534105899828,179.6229398580354,179.95666266643366,179.9745585063292,1.0187719667797728,0.9640606801557977,96.40606801557978,0.5420645833333366,0.7139999999999478,0.03461636422188923,0.8325000000003276,0.0045622980231699575,0.33200875653448914,0.33132998415397696,0.4733285487911777,0.2839971292748374,3656.185824716207,3194.123321594713,3682.30143774986,126.72721293813314,1614,0.07880859375,0.08514950148131122,66.63395334119153,1317.4250000002078,71904.00000002765,0.37614678899082565,1.602941176470588,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,133.3450542857143,176.24723399108183,24.342044260131985,0,0,16.0,3.84
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.5,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.677998906009492,176.11838546527687,176.16483351151575,178.2670185271185,179.53896373688366,179.83561518485726,179.87653697106782,1.019153256402603,0.965165313779808,96.5165313779808,0.5424770833335631,0.7139999999999478,0.03355590510582752,0.8325000000003276,0.0033568430727143957,0.3337303002830301,0.3314419692255656,0.4734885274650831,0.2840931164790563,3649.147539331248,3187.1854937907965,3675.212878897896,127.2340752632237,1664,0.08125,0.08525710551520324,66.59854180713393,968.6250000003208,72224.0000000278,0.49629629629629635,1.9852941176470589,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,133.2914828571429,176.11838546527767,24.31711061567631,0,0,16.0,6.4
23,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.5,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.685082727520697,175.89893549994244,175.85949411219912,177.7582210164341,179.508494749683,180.4569061267413,180.6976629328272,1.0207495231116483,0.9614351142568155,96.14351142568155,0.5424770833335631,0.7139999999999478,0.03715032627765138,0.8325000000003276,0.003361031040616797,0.3341466592713321,0.33185547331216064,0.4740792475887901,0.2844475485532805,3625.909511939566,3157.10888000487,3651.808865596257,127.07542718673862,1685,0.082275390625,0.0853047248443816,66.64440613215497,968.6250000003208,72224.0000000278,0.49629629629629635,1.9852941176470589,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,133.2914828571429,175.8989354999419,24.222689308323336,0,0,16.0,6.4
37,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.5,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.676196864915491,176.1742983547644,176.24023147804763,178.00164838163758,179.54860630146575,179.88219091124984,179.90007934026357,1.0187719614055897,0.9640458013841237,96.40458013841237,0.5424770833335631,0.7139999999999478,0.03463278725938122,0.8325000000003276,0.0033557777028079766,0.33362438344060397,0.3313367786366438,0.4733382551951946,0.28400295311712326,3654.747746288314,3192.8669850557217,3680.853087333188,127.27449665201068,1614,0.07880859375,0.08524498125003671,66.58687446087093,968.6250000003208,72224.0000000278,0.49629629629629635,1.9852941176470589,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,133.2914828571429,176.17429835476577,24.34113028863544,0,0,16.0,6.4
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.7,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.6803504016182504,176.04547770769815,176.0919065125192,178.19322068378182,179.46463898165354,179.76116753976135,179.8020723738456,1.0191532509127248,0.9651508872867692,96.51508872867693,0.5428895833333128,0.7139999999999478,0.033571830007729744,0.8325000000003276,0.0021489399338886443,0.3353477698039982,0.3314487625880378,0.47349823226869214,0.28409893936117525,3647.711664485488,3185.931392817904,3673.7667478032163,127.78118516405662,1664,0.08125,0.08535285417574096,66.55138198334231,619.8250000000215,72544.00000002793,0.577639751552795,2.367647058823529,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,133.23791142857146,176.04547770769796,24.316197630593635,0,0,16.0,8.959999999999999
23,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.7,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.687437154800392,175.82611865099304,175.78669360211092,177.68463394590242,179.43418261643666,180.3822011076767,180.62285817862974,1.0207495171539078,0.961419142946746,96.1419142946746,0.5428895833333128,0.7139999999999478,0.037167957013365206,0.8325000000003276,0.002151620931685959,0.33576614661295445,0.33186227503126986,0.4740889643304524,0.28445337859823133,3624.482780845472,3155.8666136461443,3650.371943565801,127.62185489663067,1685,0.082275390625,0.08540059706783806,66.59715915431563,619.8250000000215,72544.00000002793,0.577639751552795,2.367647058823529,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,133.23791142857146,175.8261186509924,24.22177521131362,0,0,16.0,8.959999999999999
37,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.7,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.678547614740717,176.1013674348947,176.16727324493428,177.9279604696759,179.4742775517381,179.80772397184472,179.825604990456,1.0187719560273034,0.9640309112511335,96.40309112511335,0.5428895833333128,0.7139999999999478,0.03464922322616604,0.8325000000003276,0.0021482579194987716,0.3352413396516188,0.33134356987323654,0.47334795696183324,0.2840087741770599,3653.3096678604256,3191.6106485167875,3679.404736916547,127.82178036588596,1614,0.07880859375,0.08534069846297422,66.53973680804127,619.8250000000215,72544.00000002793,0.577639751552795,2.367647058823529,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,133.23791142857146,176.10136743489397,24.340217586424735,0,0,16.0,8.959999999999999
11,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.85,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.682115202002811,175.99079998369686,176.03721435827197,178.13787543323787,179.40889856955152,179.70533496547537,179.74622708618432,1.0191532467925646,0.9651400601857733,96.51400601857732,0.5431989583334185,0.7139999999999478,0.03358378191407615,0.8325000000003276,0.0012423557850572927,0.33656174549375967,0.33145385547630807,0.4735055078233415,0.2841033046939784,3646.6347583511574,3184.990817088216,3672.6821494822307,128.19151758968002,1664,0.08125,0.08542482209297117,66.51597349326339,358.2250000000724,72784.00000002803,0.6232686980609419,2.6544117647058827,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,133.1977328571429,175.99079998369677,24.31551372601186,0,0,16.0,10.88
