seed,layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,stall_cycles_ratio,mem_bottleneck_pct,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,bridge_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_count,burst_event_ratio,throughput_per_watt,power_w,total_hbm_gb_transferred,total_hbf_gb_transferred,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,process_factor,model_predicted_token_ms,model_measured_token_ms,model_error_pct,oom_hbm,oom_hbf,runtime_kv_gb,shared_kv_gb
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,256.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.786044181454304,84.8461099079817,84.86915999623017,85.86939736434786,86.49525316762058,86.63420936319399,86.65725265722858,1.019160000776049,0.9276922807428214,92.76922807428214,0.19999999999992507,0.7139999999999478,0.07278518561904633,0.8325000000003276,0.005086076591424828,0.6950389856487902,0.6877840126819478,3648.070633196926,127.64440768884741,1664,0.08125,0.1533447135245269,76.8598011014522,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5649395338653899,99.4350604661346,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,58.36414062500002,84.84610990798157,31.21176599811368,0,0,16.0,8.32
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,256.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.800717136417761,84.74061266276237,84.71497728782337,85.63417453412737,86.4669764782326,86.95144532615203,87.05976865598855,1.0206811032299132,0.9199495715602293,91.99495715602293,0.19999999999992507,0.7139999999999478,0.0805815388660465,0.8325000000003276,0.005092408467635176,0.6959042696726122,0.6886402646768748,3624.839463619004,127.48524796915703,1685,0.082275390625,0.15337200636343898,76.9417928096612,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.6096076576042472,99.39039234239576,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,58.36414062500002,84.74061266276208,31.126128557426373,0,0,16.0,8.32
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,256.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.782540464976316,84.87134018105068,84.8963844922565,85.74166261316557,86.48640941285223,86.65133489205628,86.65546399687929,1.0187290063069854,0.9253669648605816,92.53669648605816,0.19999999999992507,0.7139999999999478,0.07512371637957152,0.8325000000003276,0.00508456461929174,0.6948323667434672,0.6875795505111438,3653.6691874673925,127.68495943741745,1614,0.07880859375,0.15333818772435956,76.84022251623705,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5172006531711818,99.48279934682883,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,58.36414062500002,84.87134018105063,31.232215138236874,0,0,16.0,8.32
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,384.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.786044181454304,84.8461099079817,84.86915999623017,85.86939736434786,86.49525316762058,86.63420936319399,86.65725265722858,1.019160000776049,0.9276922807428214,92.76922807428214,0.19999999999992507,0.7139999999999478,0.07278518561904633,0.8325000000003276,0.005086076591424828,0.6950389856487902,0.6877840126819478,3648.070633196926,127.64440768884741,1664,0.08125,0.1533447135245269,76.8598011014522,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5649395338653899,99.4350604661346,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,58.36414062500002,84.84610990798157,31.21176599811368,0,0,16.0,8.32
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,384.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.800717136417761,84.74061266276237,84.71497728782337,85.63417453412737,86.4669764782326,86.95144532615203,87.05976865598855,1.0206811032299132,0.9199495715602293,91.99495715602293,0.19999999999992507,0.7139999999999478,0.0805815388660465,0.8325000000003276,0.005092408467635176,0.6959042696726122,0.6886402646768748,3624.839463619004,127.48524796915703,1685,0.082275390625,0.15337200636343898,76.9417928096612,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.6096076576042472,99.39039234239576,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,58.36414062500002,84.74061266276208,31.126128557426373,0,0,16.0,8.32
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,384.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.782540464976316,84.87134018105068,84.8963844922565,85.74166261316557,86.48640941285223,86.65133489205628,86.65546399687929,1.0187290063069854,0.9253669648605816,92.53669648605816,0.19999999999992507,0.7139999999999478,0.07512371637957152,0.8325000000003276,0.00508456461929174,0.6948323667434672,0.6875795505111438,3653.6691874673925,127.68495943741745,1614,0.07880859375,0.15333818772435956,76.84022251623705,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5172006531711818,99.48279934682883,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,58.36414062500002,84.87134018105063,31.232215138236874,0,0,16.0,8.32
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,512.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.045111994427769,83.02122889871123,83.04355550365115,84.02223751056891,84.63490471032675,84.7707849728337,84.79340395518467,1.019162826025743,0.9261028922761991,92.61028922761992,0.3256796875000562,0.7139999999999478,0.07470875044262323,0.8325000000003276,0.005197873112706268,0.7103165654008382,0.7029021216267625,3648.070633196926,127.64440768884741,1664,0.08125,0.14134163830882981,85.21984136132157,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5652259833163336,99.43477401668368,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,58.36414062500002,83.02122889871107,29.699738971334185,0,0,16.0,8.32
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,512.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.060106544029455,82.91800709630262,82.89268522886627,83.79229032318767,84.60694394916317,85.08157886593135,85.18740582561402,1.0206804583005586,0.9181899977163854,91.81899977163854,0.3256796875000562,0.7139999999999478,0.0827111454923684,0.8325000000003276,0.0052043437678772455,0.7112008142959692,0.7037771405334142,3624.839463619004,127.48524796915703,1685,0.082275390625,0.14137858525542304,85.30363012362122,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.6098980792563683,99.39010192074363,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,58.36414062500002,82.91800709630306,29.612224571178565,0,0,16.0,8.32
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,512.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.041536642012586,83.04587941966044,83.07044682094595,83.89725434145683,84.62596097329488,84.7874275651794,84.79137118764362,1.0187252411883827,0.923726429796086,92.3726429796086,0.3256796875000562,0.7139999999999478,0.07710908382783907,0.8325000000003276,0.005196330227244023,0.7101057220272916,0.7026934790836828,3653.6691874673925,127.68495943741745,1614,0.07880859375,0.14133281782104776,85.19986247821997,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5174433816472782,99.48255661835273,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,58.36414062500002,83.04587941966096,29.720606208449144,0,0,16.0,8.32
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.520530861533283,79.86881794862957,79.88989476430018,80.83134072331426,81.42122512357699,81.55179183137479,81.57367783179929,1.0191680107201881,0.923186183884232,92.3186183884232,0.5427864583331955,0.7139999999999478,0.07803163384281656,0.8325000000003276,0.005403032429426961,0.7383526597904436,0.7306455689690912,3648.070633196926,127.64440768884741,1664,0.08125,0.12543444017377284,99.81732962803311,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5657516505996897,99.4342483494003,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,58.36414062500002,79.86881794862981,26.9249976097821,0,0,16.0,8.32
