seed,layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,stall_cycles_ratio,mem_bottleneck_pct,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,bridge_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_count,burst_event_ratio,throughput_per_watt,power_w,total_hbm_gb_transferred,total_hbf_gb_transferred,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,process_factor,model_predicted_token_ms,model_measured_token_ms,model_error_pct,oom_hbm,oom_hbf,runtime_kv_gb,shared_kv_gb
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.520530861533283,79.86881794862957,79.88989476430018,80.83134072331426,81.42122512357699,81.55179183137479,81.57367783179929,1.0191680107201881,0.923186183884232,92.3186183884232,0.5427864583331955,0.7139999999999478,0.07803163384281656,0.8325000000003276,0.005403032429426961,0.7383526597904436,0.7306455689690912,3648.070633196926,127.64440768884741,1664,0.08125,0.12543444017377284,99.81732962803311,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5657516505996897,99.4342483494003,0.0,110.77639999999872,110.11409650390533,1.0,0.9632778197285811,58.36414062500002,79.86881794862981,26.9249976097821,0,0,16.0,8.32
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.53611546975443,79.76952688515631,79.74474658973332,80.61050700369918,81.39381011613054,81.85145729940474,81.95297187676306,1.0206792747725595,0.9149609805299741,91.49609805299741,0.5427864583331955,0.7139999999999478,0.0863899580911512,0.8325000000003276,0.0054097577148441685,0.739271705241402,0.7315550212173088,3624.839463619004,127.48524796915703,1685,0.082275390625,0.12548109504035546,99.90441560716968,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.6104310358635948,99.38956896413642,0.0,110.77639999999872,110.11409650390533,1.0,1.065099601622142,58.36414062500002,79.76952688515699,26.83403938320205,0,0,16.0,8.32
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.516824650954275,79.89246697034784,79.91621052829777,80.71111080518347,81.41210867107452,81.567600169676,81.57122337858122,1.0187183317738404,0.9207158577740151,92.07158577740151,0.5427864583331955,0.7139999999999478,0.08053872885787397,0.8325000000003276,0.005401433074242255,0.7381340995337726,0.7304292900934454,3653.6691874673925,127.68495943741745,1614,0.07880859375,0.12542333309102238,99.79661951632676,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5178888165391581,99.48211118346084,0.0,110.77639999999872,110.11409650390533,1.0,0.9945511542004077,58.36414062500002,79.89246697034795,26.9466285893239,0,0,16.0,8.32
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,1.5,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.03442331528127,83.09496631468859,83.01606181085565,85.19844028182587,86.83918895039977,87.61975410628075,87.69937226650075,1.046052860809692,0.9248625612902694,92.48625612902694,0.5427864583331955,0.7064962148769475,0.07731214071339504,0.8325000000003276,0.005193260586233153,0.7096862395173158,0.702278375226319,4397.538987245679,135.51352287076304,1664,0.08125,0.12393718966371355,97.10098597471038,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.4863580739936822,99.51364192600633,0.0,115.51485078508436,112.75864159483388,1.0,0.9632778197285811,58.36414062500002,83.09496631468893,29.7621225286148,0,0,16.0,8.32
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,1.5,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.043532274699492,83.0321185837443,82.95939134564745,84.9411657258819,87.45565400259714,87.74224032010622,87.75345701691468,1.0541983563767503,0.91684290838158,91.684290838158,0.5427864583331955,0.7064014738328411,0.08558010827101717,0.8325000000003276,0.0051971914102277,0.7102234071892578,0.7028099358215084,4382.774389868248,135.44677013476746,1685,0.082275390625,0.12396601574344354,97.15188636557004,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5251417224130466,99.47485827758695,0.0,115.82335171335751,112.79266704039264,1.0,1.065099601622142,58.36414062500002,83.0321185837448,29.708958869771674,0,0,16.0,8.32
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,1.5,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.040819436772024,83.05082600491899,83.05051152695827,84.88625158317286,87.14951580836359,89.27259034443725,89.9005226206671,1.049355557311345,0.9224087416027199,92.24087416027199,0.5427864583331955,0.7066451797435591,0.07981253652436592,0.8325000000003276,0.0051960207289315176,0.7100634274630402,0.7026516259995881,4387.332112215887,135.4002046671463,1614,0.07880859375,0.12395743389505137,97.13672716850843,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.4637255566927927,99.5362744433072,0.0,115.44108485997873,112.69775238019156,1.0,0.9945511542004077,58.36414062500002,83.05082600491923,29.724792115200614,0,0,16.0,8.32
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,2.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.583505873736952,86.32964932208301,86.08551475465875,90.03893545510782,93.31962392404495,94.78549068983084,95.18666346152786,1.084033988644933,0.9276526242325429,92.76526242325428,0.5427864583331955,0.6995603273165216,0.07629405483793922,0.8325000000003276,0.004998674463120492,0.6830950273720684,0.6759647281231093,5147.189007038288,145.24360467918632,1664,0.08125,0.12247143971370529,94.58128279389115,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.46813473809679834,99.5318652619032,0.0,116.08425184290219,113.14179564876602,1.0,0.9632778197285811,58.36414062500002,86.32964932208327,32.39386342547047,0,0,16.0,8.32
23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,23,64,2.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.587044036844967,86.30328812250633,86.11159220837267,89.7721850703484,94.54335641620847,95.24310743012845,95.25303233244902,1.097916714714003,0.9199740749664639,91.99740749664639,0.5427864583331955,0.6994194115270942,0.08443067089830293,0.8325000000003276,0.005000201300139196,0.6833036776418107,0.6761712004544944,5140.905142460787,145.25929229107211,1685,0.082275390625,0.12248324477833283,94.60105386508101,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.505237178295884,99.49476282170411,0.0,116.49711354053657,113.1862628681187,1.0,1.065099601622142,58.36414062500002,86.30328812250686,32.37321324055166,0,0,16.0,8.32
37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,37,64,2.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.598642219009289,86.21698825756314,86.02619623457949,89.61923718197525,94.0177198443738,97.57756914831185,98.42196649594302,1.092896396209391,0.9252251873305993,92.52251873305994,0.5427864583331955,0.6999086804406085,0.078796857247144,0.8325000000003276,0.00500520630791796,0.6839876381499126,0.6768480216292653,5121.119837039547,144.90471182821486,1614,0.07880859375,0.12252190748390772,94.66586390301407,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.446696078131086,99.5533039218689,0.0,116.17654380325786,113.05606691724181,1.0,0.9945511542004077,58.36414062500002,86.2169882575629,32.30552144706777,0,0,16.0,8.32
11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,11,64,2.5,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.166107115300173,89.55672641092316,89.18212254843702,95.20346103742462,99.52749899006022,102.05633712517763,102.65331996829818,1.1160028057866012,0.9302595815001149,93.02595815001149,0.5427864583331955,0.6967641585874164,0.07566011904977707,0.8325000000003276,0.004818552785151936,0.6584804573595566,0.651607090518302,5896.839026830865,153.02657133767863,1664,0.08125,0.1210432807723391,92.24888026871675,707.0249999998055,72464.0000000279,0.5598705501618123,2.2720588235294117,0.0,0.0,0.4512660231677757,99.54873397683222,0.0,116.08425184290219,113.14179564876602,1.0,0.9632778197285811,58.36414062500002,89.55672641092318,34.829975408880756,0,0,16.0,8.32
