scenario,seed,layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,sequence_len,micro_batch_size,grad_accum_steps,data_parallel_degree,training_mode,lora_rank,route_diversity,expert_capacity_factor,activation_checkpoint_ratio,activation_offload_ratio,prefetch_accuracy,weight_prefetch_depth,lhb_enable,lhb_size_mb,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tflops_bf16,compute_efficiency,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,tail_jitter_sigma,burst_probability,traffic_burst_factor,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_steps,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec_train,step_time_ms,step_p50_ms,step_p90_ms,step_p99_ms,step_p999_ms,step_max_ms,tail_ratio_p99_p50,stall_ratio,hbm_util,hbf_util,bridge_util,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,shared_context_reuse_ratio,batch_gain,expert_balance_score,thermal_peak_c,thermal_avg_c,thermal_throttle_ratio,burst_event_ratio,power_w,throughput_per_watt,train_stability_score,convergence_proxy,process_factor,model_hbm_resident_gb,model_hbf_resident_gb,trainable_ratio,trainable_gb,optimizer_gb,activation_stored_gb,activation_offload_gb,oom_hbm,oom_hbf
full_ft_nominal,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.6,0.3,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,11,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2494.5643663485375,105086.08378132086,101855.8395989956,117751.33149707185,171437.90798145684,180396.94562117395,181161.64060878477,1.683142651971693,0.00044073766270961333,5.357400913536294e-05,0.0018227913069689269,0.0018563388527664227,0.77382,0.75,0.8197640000000002,0.0,1.0,0.80375,74.20892734286701,57.70405235184885,0.0,0.05,556.709737787061,4.480906650321064,28.0332,0.24491515799992836,0.9571574563500113,293.84999999999997,1094.85,1.0,180.0,720.0,49.50000000000001,14.850000000000001,1,0
full_ft_nominal,23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.6,0.3,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,23,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2200.876065034384,119108.93310382953,117628.55897820233,127122.83920355723,182572.89426812623,193560.54176839616,194857.70082573168,1.5521136691129465,0.00039209755262980097,4.7266671489638176e-05,0.0016081917200368356,0.001637789669715893,0.77382,0.75,0.8197640000000002,0.0,1.0,0.80375,73.92392620687359,57.43988694709943,0.0,0.03333333333333333,552.5198099609403,3.9833432672576428,28.512063308870538,0.2533046291263531,1.0759495352258324,293.84999999999997,1094.85,1.0,180.0,720.0,49.50000000000001,14.850000000000001,1,0
full_ft_nominal,37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.6,0.3,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,37,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2416.6884749229275,108472.40044390093,106216.01387819016,118798.98821240429,156860.7666333689,167933.5096582717,169309.89072019578,1.4768090131235652,0.0004245615352822637,5.1901523239652354e-05,0.0017658869833812208,0.0017983872340800755,0.77382,0.75,0.8197640000000002,0.0,1.0,0.80375,74.0373442847873,57.660393353416474,0.0,0.05,559.5947049787557,4.318640711610511,29.26510986876435,0.26647669460783424,0.993643013233809,293.84999999999997,1094.85,1.0,180.0,720.0,49.50000000000001,14.850000000000001,1,0
full_ft_longctx,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,16384,2,24,1,full_finetune,64,0.35,1.2,0.8,0.55,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,11,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2113.1387365669416,372162.97557332047,360723.0470550568,417017.02386077715,607148.3460475581,638876.8298419381,641585.0015784305,1.6831426519716932,0.0004211382416288944,1.5153706326676022e-05,0.0013369142893204775,0.0013299768464675912,0.7147800000000001,0.75,0.7579560000000002,0.0,1.0,0.80375,73.3494847153252,57.206389402835015,0.0,0.05,552.8360699978249,3.822360463157289,26.942800000000005,0.24491893088848643,0.9571574563500113,291.59999999999997,1119.6,1.0,180.0,720.0,71.99999999999999,39.599999999999994,1,0
full_ft_longctx,23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,16384,2,24,1,full_finetune,64,0.35,1.2,0.8,0.55,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,23,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,1864.3487963729342,421826.64613509714,416583.87184297794,450208.0533427573,646585.5218194821,685498.4931069777,690092.4076052514,1.5521136691129467,0.0003746596553048374,1.3369587931848685e-05,0.0011795129695070308,0.0011733923050145057,0.7147800000000001,0.75,0.7579560000000002,0.0,1.0,0.80375,73.07073068022862,56.94801438881926,0.0,0.03333333333333333,548.6503887857745,3.3980633833121847,27.421663308870542,0.25330798592158815,1.0759495352258324,291.59999999999997,1119.6,1.0,180.0,720.0,71.99999999999999,39.599999999999994,1,0
full_ft_longctx,37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,16384,2,24,1,full_finetune,64,0.35,1.2,0.8,0.55,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,37,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2047.1675866643313,384156.14096421754,376165.12433639576,420727.8595787437,555524.0460427358,594738.2813037595,599612.7492336772,1.4768090131235652,0.0004056809262896132,1.4680615083608173e-05,0.0012951764841014075,0.0012884556247952938,0.7147800000000001,0.75,0.7579560000000002,0.0,1.0,0.80375,73.18166268322271,57.163687390652235,0.0,0.05,555.7221632740632,3.6837969077989396,28.174709868764353,0.2664803291250653,0.993643013233809,291.59999999999997,1119.6,1.0,180.0,720.0,71.99999999999999,39.599999999999994,1,0
full_ft_thermal_hot,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.6,0.3,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,11,0.07,0.12,2.0,1,45.0,1.35,140.0,86.0,0.3,125.0,0.035,2234.7637366243507,117302.7804701955,105495.14199536724,167708.84442437507,245161.59090820525,263868.64477185364,266301.4681179189,2.323913559156794,0.00044073766270961333,4.7994453242567855e-05,0.0016329536199584747,0.0016630072997962607,0.77382,0.75,0.8197640000000002,0.0,1.0,0.80375,98.39016597659898,76.21280356331093,0.1239016597659898,0.125,503.96866114401115,4.434330760868001,26.381177869786804,0.22323236754088013,0.9571574563500113,293.84999999999997,1094.85,1.0,180.0,720.0,49.50000000000001,14.850000000000001,1,0
full_ft_thermal_hot,23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.6,0.3,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,23,0.07,0.12,2.0,1,45.0,1.35,140.0,86.0,0.3,125.0,0.035,1983.8027522109298,132142.16973327764,119569.74514928751,166247.67784581592,274201.50872603717,300344.6658089502,303774.86469780887,2.2932348679315644,0.00039209755262980097,4.2604740211725275e-05,0.0014495751082840105,0.0014762537999949846,0.77382,0.75,0.8197640000000002,0.0,1.0,0.80375,98.1609056232027,75.62443988125892,0.12160905623202695,0.10833333333333334,502.98549557113137,3.944055583468378,26.41174591690631,0.22364293638051402,1.0759495352258324,293.84999999999997,1094.85,1.0,180.0,720.0,49.50000000000001,14.850000000000001,1,0
full_ft_thermal_hot,37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.6,0.3,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,37,0.07,0.12,2.0,1,45.0,1.35,140.0,86.0,0.3,125.0,0.035,2146.0923430798866,122149.45029988483,109572.3776189562,194385.39691807804,257959.5560517301,263691.3629549453,264140.02673285233,2.3542389209513934,0.0004245615352822637,4.609011992013285e-05,0.0015681609661748973,0.0015970221702137064,0.77382,0.75,0.8197640000000002,0.0,1.0,0.80375,98.39139836869138,76.57134560140078,0.12391398368691384,0.125,502.56888697248024,4.270245131982081,26.381013550841146,0.22323332475924823,0.993643013233809,293.84999999999997,1094.85,1.0,180.0,720.0,49.50000000000001,14.850000000000001,1,0
lora_nominal,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,8,16,1,lora_sft,64,0.35,1.2,0.45,0.2,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,11,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2638.068771775071,198739.32234421,192630.268540877,222691.90157999002,324224.22104191117,341167.5974177861,342613.7923673861,1.6831426519716932,0.0002810244190528225,4.913786001084506e-07,0.0009293305877843094,0.0009113860440660981,0.56457,0.75,0.797914,0.0,1.0,0.80375,73.9051022488374,57.52812147824105,0.0,0.05,543.0998324137385,4.857428808347277,65.35175,0.699845436569521,0.9571574563500113,106.53750000000001,217.9125,0.015625,2.8125,11.25,119.25,23.85,0,0
