mode,sweep_param,layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,sequence_len,micro_batch_size,grad_accum_steps,data_parallel_degree,training_mode,lora_rank,route_diversity,expert_capacity_factor,activation_checkpoint_ratio,activation_offload_ratio,prefetch_accuracy,weight_prefetch_depth,lhb_enable,lhb_size_mb,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tflops_bf16,compute_efficiency,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,tail_jitter_sigma,burst_probability,traffic_burst_factor,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_steps,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec_train,step_time_ms,step_p50_ms,step_p90_ms,step_p99_ms,step_p999_ms,step_max_ms,tail_ratio_p99_p50,stall_ratio,hbm_util,hbf_util,bridge_util,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,shared_context_reuse_ratio,batch_gain,expert_balance_score,thermal_peak_c,thermal_avg_c,thermal_throttle_ratio,burst_event_ratio,power_w,throughput_per_watt,train_stability_score,convergence_proxy,process_factor,model_hbm_resident_gb,model_hbf_resident_gb,trainable_ratio,trainable_gb,optimizer_gb,activation_stored_gb,activation_offload_gb,oom_hbm,oom_hbf,tokens_per_sec_train_std,step_time_ms_std,step_p99_ms_std,tail_ratio_p99_p50_std,train_stability_score_std,convergence_proxy_std,step_p99_worst_ms,tokens_per_sec_p05,tokens_per_sec_p95,seed_count
full_ft,sequence_len,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,2048,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2342.685556252012,56107.76465153279,54932.70424842998,61337.211326732555,86163.73172292132,91395.47502289193,91975.36801043192,1.5706884447360683,0.0005797309953607001,0.00010058079300747974,0.0026159768274454883,0.0026950828604263527,0.8531325000000001,0.75,0.8256265000000002,0.0,1.0,0.80375,74.13793447625225,57.64843430837205,0.0,0.044444444444444446,561.430210818695,4.171936387487061,29.296582725878295,0.25486791198626324,1.0089166682698842,274.190625,1088.071875,1.0,180.0,720.0,23.062499999999996,8.071874999999999,1.0,0.0,122.73862333982831,3022.4260772829966,5326.6045625182605,0.08525318898107538,0.5070602763543935,0.008874651461993543,92377.29307245748,2196.2097547773833,2457.359887979834,3
full_ft,sequence_len,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2343.0681666509286,112197.2984643173,109847.56596260013,122654.47341109179,172299.44388364212,182761.23183274074,183920.83034863873,1.5706884447360683,0.00044336234432046004,5.032043151834086e-05,0.0017891833124517424,0.0018191516767200064,0.7839450000000001,0.75,0.8117890000000002,0.0,1.0,0.80375,73.94627037333022,57.53752166307299,0.0,0.044444444444444446,556.926125459106,4.206357973328145,28.6047077258783,0.25489416295158845,1.0089166682698842,289.18125,1096.14375,1.0,180.0,720.0,46.12499999999999,16.143749999999997,1.0,0.0,122.77653417098713,6044.768465718882,10652.317984162399,0.08525318898107545,0.5070602763543924,0.008874393376574124,184726.4333191103,2196.54747661701,2457.779352042016,3
full_ft,sequence_len,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,8192,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2343.163142823056,224385.54781982163,219686.27555626162,245299.04476186345,344584.9799010173,365507.71265225235,367826.8166362978,1.570688444736068,0.00041617146412273624,2.5183058034794468e-05,0.0013756286914080363,0.0013810219800786735,0.64557,0.75,0.7841140000000001,0.0,1.0,0.80375,73.5629421674862,57.31569637247488,0.0,0.044444444444444446,547.9075389223599,4.275757309415791,27.220957725878293,0.25489939719602656,1.0089166682698842,319.16249999999997,1112.2875,1.0,180.0,720.0,92.24999999999999,32.287499999999994,1.0,0.0,122.78594573900867,12089.49539161802,21304.193676584648,0.08525318898107527,0.5070602763543935,0.008874341932750433,369438.89262486785,2196.631308982149,2457.8834773885246,3
full_ft,sequence_len,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,16384,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2096.4898803088363,501573.52920916415,491069.14929920976,548321.8958124811,770257.7451912424,817026.7502233982,822210.6897062865,1.5706884447360683,0.0004351363276273468,1.1285498280250536e-05,0.001045769721885239,0.0010396007118670615,0.3688200000000001,0.75,0.7287640000000003,0.0,1.0,0.80375,72.79628575579818,56.87204579127868,0.0,0.044444444444444446,529.8784615368389,3.9557787769658055,24.453457725878295,0.25489574645980184,1.0089166682698842,379.12499999999994,1144.575,1.0,180.0,720.0,184.49999999999997,64.57499999999999,1.0,0.0,109.85868045618021,27023.6047154684,47621.42395452432,0.08525318898107527,0.5070602763543927,0.00887437782833291,825813.5927492974,1965.3853259660184,2199.132029009189,3
full_ft,micro_batch_size,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,2,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2319.955321299916,56657.493684858055,55470.9204745213,61938.17672900937,87007.94073592278,92290.94329684053,92876.51794077724,1.570688444736068,0.0005741060160099085,9.960489376627478e-05,0.002590594945631095,0.002668933441239739,0.8531325000000001,0.75,0.8256265000000002,0.0,1.0,0.80375,74.13793447625225,57.64843430837205,0.0,0.044444444444444446,561.430686585158,4.131454076851177,29.296582725878295,0.25486899479478825,1.0089166682698842,274.190625,1088.071875,1.0,180.0,720.0,23.062499999999996,8.071874999999999,1.0,0.0,121.54840154341679,3052.0561121622413,5378.809208644631,0.08525318898107537,0.5070602763543935,0.008874640814135616,93282.41681643142,2174.8999391603493,2433.517685851185,3
full_ft,micro_batch_size,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2343.0681666509286,112197.2984643173,109847.56596260013,122654.47341109179,172299.44388364212,182761.23183274074,183920.83034863873,1.5706884447360683,0.00044336234432046004,5.032043151834086e-05,0.0017891833124517424,0.0018191516767200064,0.7839450000000001,0.75,0.8117890000000002,0.0,1.0,0.80375,73.94627037333022,57.53752166307299,0.0,0.044444444444444446,556.926125459106,4.206357973328145,28.6047077258783,0.25489416295158845,1.0089166682698842,289.18125,1096.14375,1.0,180.0,720.0,46.12499999999999,16.143749999999997,1.0,0.0,122.77653417098713,6044.768465718882,10652.317984162399,0.08525318898107545,0.5070602763543924,0.008874393376574124,184726.4333191103,2196.54747661701,2457.779352042016,3
full_ft,micro_batch_size,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,8,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2390.0058286690014,219987.71553556202,215380.5457302497,240491.32152432707,337831.30776986736,358343.96643187996,360617.61716456997,1.5706884447360683,0.0004244912772699001,2.5686498044841247e-05,0.0014031291848455782,0.0014086302919272588,0.64557,0.75,0.7841140000000001,0.0,1.0,0.80375,73.5629421674862,57.31569637247488,0.0,0.044444444444444446,547.9059367841137,4.361247694146434,27.220957725878293,0.25489779563199566,1.0089166682698842,319.16249999999997,1112.2875,1.0,180.0,720.0,92.24999999999999,32.287499999999994,1.0,0.0,125.23962556568571,11852.455112401361,20886.556488136066,0.08525318898107519,0.5070602763543924,0.008874357676591463,362197.902645809,2240.5457725415176,2507.0185876854307,3
full_ft,micro_batch_size,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,12,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2276.190050539992,346481.5571126645,339225.2453903415,378774.8218621081,532085.7008826926,564393.2226117938,567974.2318229541,1.5706884447360683,0.0004320336934358607,1.632297727200942e-05,0.0012023750963154809,0.0011996562846912637,0.5071950000000001,0.75,0.7564390000000002,0.0,1.0,0.80375,73.1796139616422,57.093871081876785,0.0,0.044444444444444446,538.8891074572363,4.223045712431868,25.837207725878297,0.2548963437168837,1.0089166682698842,349.14375,1128.43125,1.0,180.0,720.0,138.375,48.43125,1.0,0.0,119.2752416050511,18667.620957082865,32896.37070901056,0.08525318898107537,0.5070602763543893,0.008874371954355892,570463.0944287144,2133.8478412185505,2387.630197657757,3
full_ft,grad_accum_steps,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,8,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2342.5959093839506,56109.900855645414,54934.79495284528,61339.54888531612,86167.0149237018,91398.95726360499,91978.87221673202,1.5706884447360683,0.0006443212100372008,0.00010057694411147397,0.00245502342683985,0.0025373434986087125,0.758565,0.75,0.8067130000000001,0.0,1.0,0.80375,73.87596237069737,57.49683565855353,0.0,0.044444444444444446,555.2485383763618,4.218214980567056,28.35090772587829,0.25485547836993794,1.0089166682698842,289.18125,1096.14375,1.0,180.0,720.0,46.12499999999999,16.143749999999997,1.0,0.0,122.72974153302414,3022.4358835970334,5326.708990946805,0.08525318898107519,0.5070602763543922,0.008874773783386134,92380.59188844157,2196.1306244871294,2457.261607030242,3
full_ft,grad_accum_steps,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2343.0681666509286,112197.2984643173,109847.56596260013,122654.47341109179,172299.44388364212,182761.23183274074,183920.83034863873,1.5706884447360683,0.00044336234432046004,5.032043151834086e-05,0.0017891833124517424,0.0018191516767200064,0.7839450000000001,0.75,0.8117890000000002,0.0,1.0,0.80375,73.94627037333022,57.53752166307299,0.0,0.044444444444444446,556.926125459106,4.206357973328145,28.6047077258783,0.25489416295158845,1.0089166682698842,289.18125,1096.14375,1.0,180.0,720.0,46.12499999999999,16.143749999999997,1.0,0.0,122.77653417098713,6044.768465718882,10652.317984162399,0.08525318898107545,0.5070602763543924,0.008874393376574124,184726.4333191103,2196.54747661701,2457.779352042016,3
full_ft,grad_accum_steps,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,24,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2343.2175869996267,168285.2706276117,164760.8992893541,183970.02664789825,258432.75589505388,274124.4429872367,275863.7309737819,1.5706884447360683,0.00037977978805108273,3.356364228581475e-05,0.0015671715676906948,0.0015796846289236786,0.792405,0.75,0.813481,0.0,1.0,0.80375,73.96970637420783,57.55108366457947,0.0,0.044444444444444446,557.4835913214146,4.2024202194089915,28.689307725878294,0.2549064025936703,1.0089166682698842,289.18125,1096.14375,1.0,180.0,720.0,46.12499999999999,16.143749999999997,1.0,0.0,122.79134098831041,9067.103685656035,15977.9551200055,0.08525318898107527,0.5070602763543924,0.008874273060123075,277073.1620011242,2196.6793648944467,2457.9431664050308,3
full_ft,grad_accum_steps,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,32,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2343.2883721924068,224373.61738050697,219674.5992272048,245285.9897823974,344566.6436252665,365488.2647627643,367807.2460716862,1.5706884447360683,0.0003496587067863418,2.518440393274685e-05,0.0014561526330190394,0.0014599372014974478,0.7966349999999999,0.75,0.8143270000000001,0.0,1.0,0.80375,73.98142437464664,57.557864665332716,0.0,0.044444444444444446,557.7614775209395,4.200453649973734,28.731607725878295,0.25491220090181377,1.0089166682698842,289.18125,1096.14375,1.0,180.0,720.0,46.12499999999999,16.143749999999997,1.0,0.0,122.79835575444035,12089.440625211297,21303.610577264393,0.0852531889810752,0.5070602763543918,0.00887421606956205,369420.46914011013,2196.7418442320836,2458.0207708160524,3
full_ft,activation_checkpoint_ratio,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.0,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2759.2348080345055,95274.68434738305,93279.34232750023,104154.66505869546,146311.74039373183,155195.5831697441,156180.27792974858,1.5706884447360683,0.0009545951465647013,5.9258150563832094e-05,0.0031845340391954027,0.0031982740084815684,0.65232,0.75,0.7854640000000002,0.0,1.0,0.80375,73.58164110435665,57.32651711835772,0.0,0.044444444444444446,548.2452923151432,5.031897861473401,27.288457725878292,0.2547957506371564,1.0089166682698842,317.7,1111.5,1.0,180.0,720.0,90.0,31.499999999999996,1.0,0.0,144.51695446132354,5130.624143327291,9043.379744623706,0.08525318898107537,0.5070602763543953,0.008875361511305514,156859.30421771886,2586.767925747552,2894.2529083941345,3
